file_name,package,minor,major,total,ownership,num_of_bugs
SpanOrQuery.java,org.apache.lucene.search.spans,0,1,2,0.6666666666666666,4
PostingsFormat.java,org.apache.lucene.codecs,0,0,1,1.0,2
ByteSequenceOutputs.java,org.apache.lucene.util.fst,0,2,3,0.6,0
SimpleFieldComparator.java,org.apache.lucene.search,0,0,1,1.0,0
DocumentsWriterFlushControl.java,org.apache.lucene.index,0,3,4,0.4444444444444444,6
ReaderUtil.java,org.apache.lucene.index,0,0,1,1.0,0
DocumentsWriterPerThread.java,org.apache.lucene.index,0,3,4,0.5555555555555556,6
DataOutput.java,org.apache.lucene.store,0,1,2,0.5,3
Token.java,org.apache.lucene.analysis,0,1,2,0.6666666666666666,1
DirectReader.java,org.apache.lucene.util.packed,0,0,1,1.0,0
PagedBytes.java,org.apache.lucene.util,0,1,2,0.5714285714285714,0
DisjunctionMaxQuery.java,org.apache.lucene.search,0,2,3,0.5,5
Lucene50PostingsFormat.java,org.apache.lucene.codecs.lucene50,0,1,2,0.6,1
SortedNumericDocValuesWriter.java,org.apache.lucene.index,0,1,2,0.5,0
TermCollectingRewrite.java,org.apache.lucene.search,0,1,2,0.5,0
RegExp.java,org.apache.lucene.util.automaton,0,1,2,0.6666666666666666,1
TextField.java,org.apache.lucene.document,0,0,1,1.0,0
FieldInfo.java,org.apache.lucene.index,0,1,2,0.6428571428571429,0
DefaultIndexingChain.java,org.apache.lucene.index,1,1,3,0.5294117647058824,3
DocValues.java,org.apache.lucene.index,0,2,3,0.625,0
Automaton.java,org.apache.lucene.util.automaton,0,1,2,0.8461538461538461,0
CharacterRunAutomaton.java,org.apache.lucene.util.automaton,0,0,1,1.0,0
NearSpansOrdered.java,org.apache.lucene.search.spans,0,2,3,0.3333333333333333,4
NumericRangeFilter.java,org.apache.lucene.search,0,1,2,0.5,0
ConcurrentMergeScheduler.java,org.apache.lucene.index,0,2,3,0.7857142857142857,5
Lucene50SegmentInfoFormat.java,org.apache.lucene.codecs.lucene50,0,1,2,0.7777777777777778,1
ConjunctionScorer.java,org.apache.lucene.search,0,0,1,1.0,2
SortedSetSelector.java,org.apache.lucene.search,0,0,1,1.0,0
TermVectorsConsumer.java,org.apache.lucene.index,0,1,2,0.6666666666666666,0
MonotonicBlockPackedWriter.java,org.apache.lucene.util.packed,0,0,1,1.0,0
OrdTermState.java,org.apache.lucene.index,0,0,1,1.0,0
CompositeReader.java,org.apache.lucene.index,0,0,1,1.0,0
TieredMergePolicy.java,org.apache.lucene.index,0,4,5,0.4444444444444444,0
Scorer.java,org.apache.lucene.search,0,1,2,0.5,0
DocValuesTermsFilter.java,org.apache.lucene.search,0,1,2,0.5,1
QueryRescorer.java,org.apache.lucene.search,0,2,3,0.5,3
NamedSPILoader.java,org.apache.lucene.util,0,1,2,0.5,2
Sort.java,org.apache.lucene.search,0,1,2,0.5,1
DocValuesType.java,org.apache.lucene.index,0,1,2,0.6666666666666666,0
SloppyMath.java,org.apache.lucene.util,0,1,2,0.5,0
Codec.java,org.apache.lucene.codecs,0,0,1,1.0,2
Rescorer.java,org.apache.lucene.search,0,0,1,1.0,0
TopFieldCollector.java,org.apache.lucene.search,0,3,4,0.5,2
NormsProducer.java,org.apache.lucene.codecs,0,0,1,1.0,0
SpanQuery.java,org.apache.lucene.search.spans,0,1,2,0.5,4
MutableValueDate.java,org.apache.lucene.util.mutable,0,0,1,1.0,0
TermVectorsConsumerPerField.java,org.apache.lucene.index,0,0,1,1.0,0
MutableValueFloat.java,org.apache.lucene.util.mutable,0,0,1,1.0,0
MultiTermQuery.java,org.apache.lucene.search,0,1,2,0.5,2
SortedDocValuesTermsEnum.java,org.apache.lucene.index,0,1,2,0.6666666666666666,0
IntField.java,org.apache.lucene.document,0,2,3,0.6,0
